key,en,fr,am
groupPlanPickerSub,Everyone in the group will see this plan and can join in.,Tout le groupe verra ce plan et pourra s'y joindre.,በቡድኑ ውስጥ ያሉ ሁሉ ይህን እቅድ ያያሉ፤ መቀላቀልም ይችላሉ።
groupPlanAdoptCta,Start for the group,Lancer pour le groupe,ለቡድኑ ጀምር
groupPlanAdoptNote,Your whole group will see this plan and can pray it with you.,Tout ton groupe verra ce plan et pourra le prier avec toi.,ቡድንህ ሁሉ ይህን እቅድ ያያል፤ ከአንተ ጋርም ሊጸልየው ይችላል።
groupPlanAlreadyRunning,The group is already praying this,Le groupe prie déjà ce plan,ቡድኑ ይህን እቅድ አስቀድሞ እየጸለየ ነው
groupPlanRunningNow,Praying now,En prière,አሁን በጸሎት ላይ
groupPlanStartsOn,Starts {date},Débute le {date},{date} ይጀምራል
groupPlanJoinCta,Pray this with us,Prier avec le groupe,ከእኛ ጋር ጸልይ
groupPlanJoinedBadge,Praying,En prière,በጸሎት ላይ
groupPlanCountJustYou,just you,toi seul pour l'instant,እስካሁን አንተ ብቻ
groupPlanCountYouPlus,you and {n} more,toi et {n} autre(s),አንተና ሌሎች {n}
groupPlanCountNone,no one yet,personne encore,እስካሁን ማንም የለም
groupPlanCountOthers,{n} praying,{n} en prière,{n} እየጸለዩ ነው
groupPlanEnd,End for the group,Terminer pour le groupe,ለቡድኑ አጠናቅቅ
groupPlanEndConfirm,"End this shared plan? It stays on your own calendar, and everyone keeps theirs.","Terminer ce plan partagé ? Il reste sur ton calendrier, et chacun garde le sien.",ይህን የጋራ እቅድ ማጠናቀቅ? በራስህ ቀን መቁጠሪያ ላይ ይቀራል፤ እያንዳንዱም የራሱን ይይዛል።
groupPlanLeave,Leave this plan,Quitter ce plan,ከዚህ እቅድ ውጣ
groupPlanEndedToast,Shared plan ended,Plan partagé terminé,የጋራ እቅድ ተጠናቀቀ
groupPlanStartedToast,Started for the group 🙏,Lancé pour le groupe 🙏,ለቡድኑ ተጀመረ 🙏
notifPlanInvitation,Prayer plan invitation,Invitation à un plan de prière,የጸሎት እቅድ ግብዣ
planDays,{n} days,{n} jours,{n} ቀናት
planDayOf,Day {n} of {total},Jour {n} sur {total},ቀን {n} ከ{total}
planTheme21Title,21 days of breakthrough,21 jours de percée,የ21 ቀናት ድል
planTheme21Sub,Three weeks of persistent daily prayer,Trois semaines de prière quotidienne persévérante,ሦስት ሳምንታት ጽኑ ዕለታዊ ጸሎት
planUpperRoomTitle,The Upper Room — 10 days,La chambre haute — 10 jours,ሰገነት — 10 ቀናት
planUpperRoomSub,"Ten days of united prayer, waiting on the promised Spirit","Dix jours de prière unie, dans l'attente de l'Esprit promis",ቃል የተገባለትን መንፈስ በመጠባበቅ፣ አሥር ቀናት በአንድ ልብ የሚደረግ ጸሎት
planWeek7Title,7 days of gratitude,7 jours de gratitude,የ7 ቀናት ምስጋና
planWeek7Sub,"A week of thanksgiving, one theme a day","Une semaine d'actions de grâces, un thème par jour",አንድ ሳምንት ምስጋና፣ በቀን አንድ ጭብጥ
planAltar7Title,Rekindle the altar — 7 days,Rallume l'autel — 7 jours,መሠዊያውን እንደ አዲስ አንድድ — 7 ቀናት
planAltar7Sub,A week to return to God's presence and stir fresh hunger for Him,Une semaine pour revenir à la présence de Dieu et raviver la faim de Lui,ወደ እግዚአብሔር ሕልውና ለመመለስና ለእርሱ አዲስ ራብ ለማነሳሳት አንድ ሳምንት
plan30Title,30 days for others,30 jours pour les autres,ለሌሎች 30 ቀናት
plan30Sub,A month of intercession for people around you,Un mois d'intercession pour ceux qui t'entourent,በዙሪያህ ላሉ ሰዎች የአንድ ወር ማማለድ
groupCalendarTitle,Prayer calendar,Calendrier de prière,የጸሎት ቀን መቁጠሪያ
groupCalendarSub,Claim a day — the group covers this request together,Choisis un jour — le groupe couvre ce sujet ensemble,ቀን ምረጥ — ቡድኑ ይህን ልመና በአንድነት ይሸከማል
commitToPray,I'll pray this day,Je prierai ce jour,በዚህ ቀን እጸልያለሁ
commitmentAdded,Added to your calendar 🙏,Ajouté à ton calendrier 🙏,ወደ ቀን መቁጠሪያህ ታክሏል 🙏
commitmentRemoved,Commitment removed,Engagement retiré,ቃል ኪዳን ተወግዷል
removeCommitmentBtn,Remove my commitment,Retirer mon engagement,ቃል ኪዳኔን አስወግድ
noCommitmentsYet,No one has claimed a day yet — be the first,Personne n'a encore choisi de jour — sois le premier,እስካሁን ማንም ቀን አልመረጠም — የመጀመሪያ ሁን
myCommitments,Group commitments,Engagements de groupe,የቡድን ቃል ኪዳኖች
exportIcs,Export to calendar (.ics),Exporter vers un calendrier (.ics),ወደ ቀን መቁጠሪያ ላክ (.ics)
exportIcsSub,"Import your prayer schedule into Google Calendar, Outlook or Apple Calendar","Importe ton planning de prière dans Google Calendar, Outlook ou Apple Calendar",የጸሎት መርሐ ግብርህን ወደ Google Calendar፣ Outlook ወይም Apple Calendar አስገባ
scriptureRefOnly,The full text isn't available here. Open it in your Bible to read the whole passage.,Le texte complet n'est pas disponible ici. Ouvre-le dans ta Bible pour lire tout le passage.,ሙሉ ጽሑፉ እዚህ አይገኝም። ሙሉውን ክፍል ለማንበብ በመጽሐፍ ቅዱስህ ክፈተው።
privacyCenterTitle,Privacy Center,Centre de confidentialité,የግላዊነት ማዕከል
privacyCenterSub,Understand exactly how your prayers are stored and shared — in plain language.,Comprends exactement comment tes prières sont stockées et partagées — en langage clair.,ጸሎቶችህ እንዴት እንደሚቀመጡና እንደሚጋሩ በቀላል ቋንቋ ተረዳ።
privacyCenterBtn,Open Privacy Center,Ouvrir le Centre de confidentialité,የግላዊነት ማዕከልን ክፈት
pcIntro,Here's what leaves your device — and what stays encrypted.,Voici ce qui quitte ton appareil — et ce qui reste chiffré.,ጸሎቶችህ የግልህ ናቸው። በእነሱ ላይ ምን እንደሚሆንና ለአንተ ብቻ ምን እንደሚቀር እነሆ።
pcPrivateTitle,Private prayers,Prières privées,የግል ጸሎቶች
pcPrivateBody,"Encrypted on your device before they're stored. Praystead keeps the encrypted content, not readable prayer text — so private prayers are encrypted for you.","Chiffrées sur ton appareil avant d'être stockées. Praystead conserve le contenu chiffré, pas le texte lisible de tes prières — tes prières privées sont chiffrées pour toi.",ለራስህ የምታስቀምጣቸው ጸሎቶች በመለያህ ውስጥ ተከማችተው ለአንተ ብቻ ይታያሉ። ካልመረጥህ በስተቀር በየትኛውም ቡድን ውስጥ ፈጽሞ አይለጠፉም።
pcSharedTitle,Community prayers,Prières communautaires,የተጋሩና የቡድን ጸሎቶች
pcSharedBody,"Encrypted before they're stored, and readable by the members of the group you share them with. Community prayers are encrypted for those group members — not for Praystead.","Chiffrées avant d'être stockées, et lisibles par les membres du groupe avec qui tu les partages. Les prières communautaires sont chiffrées pour ces membres — pas pour Praystead.",ለቡድን የምታጋራው ጸሎት በንድፉ ለዚያ ቡድን ይታያል — ይህ በአንድነት የመጸለይ ልብ ነው። የምታጋራው ማንኛውም ነገር ከግል ቦታህ ይወጣል፣ ስለዚህ ሌሎች ሲያዩት ሰላም የሚሰማህን ብቻ አጋራ።
pcAiTitle,AI guidance,Aide de l'IA,በ AI የተደገፉ ጥቆማዎች
pcAiBody,"Optional, and off until you turn it on. Only the information needed for that feature is sent, with your consent. The AI can suggest Bible references but never generates Scripture text — that always comes from a trusted source or a link to your own Bible.","Optionnelle, et désactivée tant que tu ne l'actives pas. Seules les informations nécessaires à la fonction sont envoyées, avec ton consentement. L'IA peut suggérer des références bibliques mais ne génère jamais le texte de l'Écriture — celui-ci provient toujours d'une source fiable ou d'un lien vers ta propre Bible.",የ AI ባህሪያት እስክታበራቸው ድረስ ጠፍተው ይቆያሉ። ያለ ግልጽ ፈቃድህ ስለ ጸሎት ምንም ነገር ወደ AI አይላክም፣ እና AI ፈጽሞ የመጽሐፍ ቅዱስ ጥቅስ ጽሑፍ አይፈጥርም — ቅዱሳት መጻሕፍት ሁልጊዜ ከታመነ ምንጭ ወይም ወደ ራስህ መጽሐፍ ቅዱስ ከሚወስድ አገናኝ ይመጣሉ።
pcPushTitle,Prayer reminders,Rappels de prière,የግፋ ማስታወሻዎች
pcPushBody,"Generic by default — just a gentle nudge to pray. Prayer titles, details and names are never included in a notification unless you opt in.","Génériques par défaut — une simple invitation à prier. Les titres, détails et noms ne figurent jamais dans une notification, sauf si tu choisis de les inclure.",ማስታወሻዎች የሚያዘጋጁት በሰዓት ብቻ ነው። ማሳወቂያዎች ፈጽሞ የጸሎትህን ይዘት አያካትቱም — ለመጸለይ ለስላሳ ማበረታቻ ብቻ ናቸው።
pcRecoveryTitle,Recovery & other devices,Récupération et autres appareils,መልሶ ማግኛ እና ሌሎች መሣሪያዎች
pcRecoveryBody,"Your prayers are encrypted with a key kept on this device. Set up recovery if you want to open them on another device — without it, encrypted prayers can only be read here. If you lose your recovery code, encrypted prayers can't be recovered.","Tes prières sont chiffrées avec une clé conservée sur cet appareil. Configure la récupération si tu veux les ouvrir sur un autre appareil — sans elle, les prières chiffrées ne sont lisibles qu'ici. Si tu perds ton code de récupération, les prières chiffrées ne peuvent pas être récupérées.",ጸሎቶችዎ በዚህ መሣሪያ ላይ በተቀመጠ ቁልፍ ተመስጥረዋል። በሌላ መሣሪያ ላይ ለመክፈት ከፈለጉ መልሶ ማግኛን ያዘጋጁ — ያለሱ ተመስጥረው ያሉ ጸሎቶች እዚህ ብቻ ሊነበቡ ይችላሉ። የመልሶ ማግኛ ኮድዎን ካጡ ተመስጥረው ያሉ ጸሎቶች ሊመለሱ አይችሉም።
pcExportTitle,Exporting your data,Exporter tes données,ውሂብህን ላክ
pcExportBody,You can download all your prayers as a file at any time. Your data is yours.,Tu peux télécharger toutes tes prières dans un fichier à tout moment. Tes données t'appartiennent.,ጸሎቶችህን ሁሉ በማንኛውም ጊዜ እንደ ፋይል ማውረድ ትችላለህ። ውሂብህ የአንተ ነው።
pcDeleteTitle,Deleting your account,Supprimer ton compte,መለያህን ሰርዝ
pcDeleteBody,You can permanently delete your account and its data whenever you want. This can't be undone.,Tu peux supprimer définitivement ton compte et ses données quand tu le souhaites. Cette action est irréversible.,መለያህንና ውሂቡን በፈለግህ ጊዜ ለዘላለም መሰረዝ ትችላለህ። ይህ መቀልበስ አይቻልም።
pcSecurityNote,"No app can promise perfect security, but Praystead is built to keep your prayers private by default.","Aucune application ne peut promettre une sécurité parfaite, mais Praystead est conçu pour garder tes prières privées par défaut.",ማንም መተግበሪያ ፍጹም ደህንነትን ሊያረጋግጥ አይችልም፣ ነገር ግን Praystead ጸሎቶችህን በነባሪነት የግል አድርጎ ለማቆየት የተሠራ ነው።
planFast3Title,3 days of fasting & prayer,3 jours de jeûne et de prière,የ3 ቀን ጾምና ጸሎት
planFast3Sub,A biblical three-day fast to seek God,Un jeûne biblique de trois jours pour chercher Dieu,እግዚአብሔርን ለመፈለግ የሦስት ቀን መጽሐፍ ቅዱሳዊ ጾም
planAbout,About this plan,À propos de ce plan,ስለዚህ ዕቅድ
planInBible,In the Bible,Dans la Bible,በመጽሐፍ ቅዱስ ውስጥ
planDayByDay,Day-by-day preview,Aperçu jour par jour,ቀን በቀን ቅድመ እይታ
planDayLabel,Day {n},Jour {n},ቀን {n}
planTapToPreview,Tap to preview & start,Touchez pour découvrir et commencer,ለማየትና ለመጀመር ንካ
needsAttention,Needs attention,À traiter,ትኩረት የሚፈልግ
checklistTitle,Get your group praying,Lance ton groupe dans la prière,ቡድንህን ወደ ጸሎት አስገባ
checklistInvite,Invite people,Invite des personnes,ሰዎችን ጋብዝ
checklistRequest,Add the first prayer request,Ajoute le premier sujet de prière,የመጀመሪያውን የጸሎት ርዕስ አክል
checklistPray,Begin praying,Commence à prier,መጸለይ ጀምር
checklistDismiss,Hide this,Masquer,ደብቅ
intercessionTitle,Praying for others,Prier pour les autres,ለሌሎች መጸለይ
intercessionSub,The requests you chose to carry — for people and groups,Les sujets que tu as choisi de porter — pour des personnes et des groupes,ለሰዎችና ለቡድኖች ልትሸከመው የመረጥከው ጸሎት
praySharedBtn,Pray shared requests,Prier les sujets partagés,የተጋሩ ጸሎቶችን ጸልይ
intercessionRemaining,{n} remaining today,{n} restants aujourd'hui,ዛሬ {n} ቀርተዋል
intercessionDone,All prayed for today 🙏,Tout a été prié aujourd'hui 🙏,ዛሬ ሁሉም ተጸልዮአል 🙏
srcPersonal,Personal,Personnels,የግል
srcGroups,Groups,Groupes,ቡድኖች
latestUpdateLabel,Latest update,Dernière nouvelle,የቅርብ ጊዜ ዜና
growNextStep,Your next step,Ta prochaine étape,ቀጣዩ እርምጃህ
growContinueDesc,Continue where you left off — a few quiet minutes of guided prayer,Reprends là où tu t'étais arrêté — quelques minutes de prière guidée,ካቆምክበት ቀጥል — ጥቂት ደቂቃ የተመራ ጸሎት
growNewDesc,Continue learning to pray — a five-minute guided prayer,Continue d'apprendre à prier — une prière guidée de cinq minutes,መጸለይን መማር ቀጥል — የአምስት ደቂቃ የተመራ ጸሎት
growAgainDesc,You've prayed them all — walk this one again,Tu les as tous priés — reprends celui-ci,ሁሉንም ጸልየሃል — ይህን እንደገና ጸልይ
growHistory,Completed,Terminés,የተጠናቀቁ
growBrowseAll,Browse all guides,Parcourir tous les guides,ሁሉንም መመሪያዎች ተመልከት
lowDataTitle,Low data mode,Mode économie de données,ዳታ ቆጣቢ ሁነታ
lowDataSub,"Fetch less over the network. Verse text loads from this device when already saved; otherwise you'll see the reference with a link. Prayer capture, Today and sessions keep working offline.","Réduit les téléchargements. Le texte des versets s'affiche s'il est déjà sur cet appareil ; sinon la référence avec un lien. La saisie, Aujourd'hui et les sessions continuent de fonctionner hors ligne.",ከአውታረ መረብ ጭነትን ይቀንሳል። የጥቅስ ጽሑፍ በዚህ መሣሪያ ላይ ካለ ይታያል፤ ካልሆነ ማጣቀሻና አገናኝ ይታያል። ጸሎት መያዝ፣ ዛሬ እና ክፍለ ጊዜዎች ከመስመር ውጭ ይሰራሉ።
savedOffline,Saved on this device — it will sync when you're back online.,Enregistré sur cet appareil — la synchronisation se fera dès le retour de la connexion.,በዚህ መሣሪያ ላይ ተቀምጧል — መስመር ላይ ስትመለስ ይመሳሰላል።
translatedLabel,Translated,Traduit,ተተርጉሟል
audiencePrivate,Private,Privé,የግል
audienceVault,Private · Encrypted,Privé · Chiffré,የግል · የተመሰጠረ
audienceSharedWith,Shared with {name},Partagé avec {name},ከ{name} ጋር ተጋርቷል
audienceSharedN,Shared with {n} groups,Partagé avec {n} groupes,ከ{n} ቡድኖች ጋር ተጋርቷል
audienceFromGroup,From {name},De {name},ከ{name}
privacySecurity,Privacy & Security,Confidentialité et sécurité,ግላዊነት እና ደህንነት
notifPreviewTitle,Notification privacy,Confidentialité des notifications,የማሳወቂያ ግላዊነት
notifPreviewSub,What a prayer reminder may show on your lock screen. Titles and names are never included.,Ce qu'un rappel de prière peut afficher sur ton écran verrouillé. Les titres et les noms ne sont jamais inclus.,የጸሎት ማስታወሻ በቆለፈ ማያ ላይ ምን ማሳየት እንደሚችል። ርዕሶችና ስሞች በፍጹም አይካተቱም።
notifPreviewGeneric,Just an invitation to pray — no details,Juste une invitation à prier — aucun détail,ለጸሎት ግብዣ ብቻ — ዝርዝር የለም
notifPreviewCount,Include today's count — never titles or names,Indiquer le nombre du jour — jamais les titres ni les noms,የዛሬን ብዛት አካትት — ርዕስም ስምም አይካተትም
sharePreviewAudience,Will be shared with: {names},Sera partagé avec : {names},የሚጋራው ከ: {names}
sharePreviewSync,Updates you add to this prayer will be shared too.,Les nouvelles que tu ajouteras à cette prière seront aussi partagées.,በዚህ ጸሎት ላይ የምትጨምራቸው ዜናዎችም ይጋራሉ።
peopleView,People,Personnes,ሰዎች
followUpNext,Follow-up · {date},Suivi · {date},ክትትል · {date}
resultsCount,{n} results,{n} résultats,{n} ውጤቶች
clearFiltersBtn,Clear filters,Effacer les filtres,ማጣሪያዎችን አጽዳ
journalFilters,Journal filters,Filtres du journal,የጸሎት ማስታወሻ ማጣሪያዎች
journalSource,Source or group,Source ou groupe,ምንጭ ወይም ቡድን
intercessionDueSub,Due today — from the requests you carry,À prier aujourd'hui — parmi les sujets que tu portes,ለዛሬ — ከምትሸከማቸው ጸሎቶች
intercessionNoneDue,Nothing is due today — your rhythm covers these on other days.,Rien n'est prévu aujourd'hui — ton rythme couvre ces sujets d'autres jours.,ዛሬ የታቀደ የለም — ዜማህ እነዚህን በሌሎች ቀናት ይሸፍናል።
intercessionAllCarried,View all requests I'm carrying · {n},Voir tous les sujets que je porte · {n},የምሸከማቸውን ጸሎቶች ሁሉ ተመልከት · {n}
prayAllCarriedBtn,Pray all remaining · {n},Prier tous les sujets restants · {n},የቀሩትን ሁሉ ጸልይ · {n}
prayAgainBtn,Pray again,Prier encore,እንደገና ጸልይ
prayForPerson,Pray for {name} · {n} active requests,Prier pour {name} · {n} sujets actifs,ለ{name} ጸልይ · {n} ንቁ ጸሎቶች
personPrayedToday,You prayed for {name} today 🙏,Tu as prié pour {name} aujourd'hui 🙏,ዛሬ ለ{name} ጸልየሃል 🙏
aboutMinutes,About {n} min,Environ {n} min,ወደ {n} ደቂቃ ገደማ
whyThisStep,Why this step?,Pourquoi cette étape ?,ይህ ደረጃ ለምን?
protEncrypted,Encrypted,Chiffré,የተመሰጠረ
addUpdateBtn,Add update,Ajouter une nouvelle,ዜና ጨምር
privacyRowOverview,Privacy Center,Centre de confidentialité,የግላዊነት ማዕከል
privacyRowVault,Prayer Vault,Coffre de prière,የጸሎት ካዝና
privacyRowNotif,Notification privacy,Confidentialité des notifications,የማሳወቂያ ግላዊነት
privacyRowLowData,Low data mode,Mode économie de données,አነስተኛ ዳታ ሁነታ
privacyRowAi,AI assistance & data,Assistance IA et données,የAI እርዳታ እና ዳታ
privacyRowExport,Export my data,Exporter mes données,ዳታዬን አውጣ
protWillEncrypt,Will be encrypted,Sera chiffré,ይመሰጠራል
protEncryptedLocked,Encrypted · locked here,Chiffré · verrouillé ici,የተመሰጠረ · እዚህ ተቆልፏል
checklistAddRequestFirst,Add a request first,Ajoute d'abord une demande,መጀመሪያ ጥያቄ ጨምር
sourceLangWrittenIn,Written in {name},Écrit en {name},በ{name} ተጽፏል
sourceLangChange,Change,Modifier,ቀይር
sourceLangLabel,Language of this prayer,Langue de cette prière,የዚህ ጸሎት ቋንቋ
sourceLangLooksLike,Looks like {name} — use it?,On dirait du {name} — l'utiliser ?,{name} ይመስላል — ይጠቀሙበት?
schedRhythmLabel,Prayer rhythm,Rythme de prière,የጸሎት ምት
schedChange,Change,Modifier,ቀይር
schedChangeLater,You can change this later.,Tu pourras changer plus tard.,በኋላ መቀየር ትችላለህ።
schedWhenAppear,When would you like this prayer to appear?,Quand souhaites-tu voir cette prière apparaître ?,ይህ ጸሎት መቼ እንዲታይ ትፈልጋለህ?
schedUsePlan,Use my normal prayer rhythm,Suivre mon rythme habituel,የተለመደውን ምቴን ተጠቀም
schedOnceSub,Choose a date,Choisir une date,ቀን ምረጥ
schedOtherRhythm,Choose another rhythm,Choisir un autre rythme,ሌላ ምት ምረጥ
schedOtherRhythmSub,"Daily, weekly or a custom pattern","Chaque jour, chaque semaine ou sur mesure",በየቀኑ፣ በየሳምንቱ ወይም በራስህ አኳኋን
schedNoFixed,No fixed schedule,Pas d'horaire fixe,የተወሰነ ጊዜ የለም
schedNoFixedSub,"Stays in your Journal, never on a set day","Reste dans le Journal, jamais un jour précis",በማስታወሻህ ውስጥ ይቆያል፣ በተወሰነ ቀን አይደለም
schedNoFixedSentence,"This prayer stays in your Journal, with no set day.","Cette prière restera dans ton Journal, sans jour fixe.",ይህ ጸሎት የተወሰነ ቀን ሳይኖረው በማስታወሻህ ውስጥ ይቆያል።
noFixedSchedule,No fixed schedule,Pas d'horaire fixe,የተወሰነ ጊዜ የለም
moreOptionsLabel,More options,Plus d'options,ተጨማሪ አማራጮች
formReminderAt,You'll be reminded around {time}.,Tu seras rappelé·e vers {time}.,በ{time} አካባቢ ይታወስሃል።
schedEveryDay,Every day,Chaque jour,በየቀኑ
schedOnceAWeek,Once a week,Une fois par semaine,በሳምንት አንድ ጊዜ
schedChooseDays,Choose days,Choisir les jours,ቀናትን ምረጥ
schedMoreOptions,More scheduling options,Plus d'options,ተጨማሪ አማራጮች
schedPreferredTime,Preferred time,Moment préféré,የሚመረጥ ጊዜ
schedStopQuestion,When should this rhythm stop?,Quand ce rythme doit-il s'arrêter ?,ይህ ምት መቼ ይቁም?
schedUseRhythm,Use this rhythm,Utiliser ce rythme,ይህን ምት ተጠቀም
schedWeekdaysLabel,Days of the week,Jours de la semaine,የሳምንቱ ቀናት
schedDateLabel,Date,Date,ቀን
schedEndDateLabel,End date,Date de fin,የመጨረሻ ቀን
schedEndCountLabel,Number of times,Nombre de fois,የጊዜ ብዛት
endMarkAnswered,When I mark it answered,Quand je la marque exaucée,መልስ አግኝቷል ብዬ ስመዘግብ
endNoAutoEnd,No automatic end,Pas de fin automatique,በራሱ አይጨርስም
schedWillAppear,This prayer will appear {detail}.,Cette prière apparaîtra {detail}.,ይህ ጸሎት {detail} ይታያል።
schedWillFollowPlan,This prayer will follow your normal rhythm: {days}.,Cette prière suivra ton rythme habituel : {days}.,ይህ ጸሎት የተለመደውን ምትህን ይከተላል፦ {days}።
sentOnce,once on {date},une fois le {date},በ{date} አንድ ጊዜ
sentDaily,every day,chaque jour,በየቀኑ
sentWeekly,every {days},chaque {days},በየ{days}
sentInterval,every {n} days,tous les {n} jours,በየ{n} ቀኑ
sentMonthly,on day {d} of each month,le {d} de chaque mois,በየወሩ {d} ቀን
sentYearly,every year on {date},chaque année le {date},በየዓመቱ {date}
sentAnytime,at any time,à tout moment,በማንኛውም ጊዜ
sentMorning,in the morning,le matin,በጠዋት
sentMidday,at midday,à midi,በቀትር
sentEvening,in the evening,le soir,በማታ
sentUntilAnswered,until you mark it answered,jusqu'à ce que tu la marques exaucée,መልስ አግኝቷል ብለህ እስክትመዘግብ ድረስ
sentUntilDate,until {date},jusqu'au {date},እስከ {date} ድረስ
sentTimes,{n} times in total,{n} fois au total,በጠቅላላ {n} ጊዜ
sentJoin,", ",", ",፣ 
formatBold,Bold,Gras,ደማቅ
formatItalic,Italic,Italique,ዘንበል
formatList,List,Liste,ዝርዝር
attachMenu,Attach,Joindre,አያይዝ
attachPhoto,Photo,Photo,ፎቶ
attachVideo,Video,Vidéo,ቪዲዮ
attachAudio,Audio,Audio,ድምፅ
attachLink,Link,Lien,አገናኝ
recordVoice,Record a voice note,Enregistrer une note vocale,የድምፅ ማስታወሻ ቅዳ
stopRecording,Stop recording,Arrêter l'enregistrement,ቅጂውን አቁም
attachRemove,Remove attachment,Retirer la pièce jointe,አባሪውን አስወግድ
textRemove,Remove text,Retirer le texte,ጽሑፉን አስወግድ
linkPlaceholder,Paste a link (https://…),Coller un lien (https://…),አገናኝ ለጥፍ (https://…)
linkInvalid,This link is not valid,Ce lien n'est pas valide,ይህ አገናኝ ትክክል አይደለም
attachTooLarge,This file is too large,Ce fichier est trop volumineux,ይህ ፋይል በጣም ትልቅ ነው
attachUnsupported,Unsupported file type,Type de fichier non pris en charge,የፋይል አይነት አይደገፍም
attachOffline,Adding media requires a connection,Ajouter un média nécessite une connexion internet,ሚዲያ ለመጨመር የበይነመረብ ግንኙነት ያስፈልጋል
uploadFailed,"Upload failed, please try again","L'envoi a échoué, réessayez",መስቀል አልተሳካም፣ እንደገና ይሞክሩ
micUnavailable,Microphone unavailable,Micro indisponible,ማይክሮፎን አይገኝም
mediaLoadError,Couldn't load this media,Impossible de charger ce média,ይህን ሚዲያ መጫን አልተቻለም
restUnderSky,Rest under the sky,Reposez-vous sous le ciel,ከሰማይ በታች ዕረፍት
