key,en,fr,tl
checklistTitle,Get your group praying,Lance ton groupe dans la prière,Simulan ang panalangin ng grupo
checklistInvite,Invite people,Invite des personnes,Mag-imbita ng mga tao
checklistRequest,Add the first prayer request,Ajoute le premier sujet de prière,Idagdag ang unang kahilingan sa panalangin
checklistPray,Begin praying,Commence à prier,Simulan ang pananalangin
checklistDismiss,Hide this,Masquer,Itago
intercessionTitle,Praying for others,Prier pour les autres,Pananalangin para sa iba
intercessionSub,The requests you chose to carry — for people and groups,Les sujets que tu as choisi de porter — pour des personnes et des groupes,Mga kahilingang pinili mong dalhin — para sa mga tao at grupo
praySharedBtn,Pray shared requests,Prier les sujets partagés,Ipanalangin ang mga ibinahaging kahilingan
intercessionRemaining,{n} remaining today,{n} restants aujourd'hui,{n} na natitira ngayon
intercessionDone,All prayed for today 🙏,Tout a été prié aujourd'hui 🙏,Naipanalangin na lahat ngayon 🙏
srcPersonal,Personal,Personnels,Personal
srcGroups,Groups,Groupes,Mga grupo
latestUpdateLabel,Latest update,Dernière nouvelle,Pinakabagong balita
growNextStep,Your next step,Ta prochaine étape,Ang susunod mong hakbang
growContinueDesc,Continue where you left off — a few quiet minutes of guided prayer,Reprends là où tu t'étais arrêté — quelques minutes de prière guidée,Ipagpatuloy kung saan ka huminto — ilang minuto ng ginagabayang panalangin
growNewDesc,Continue learning to pray — a five-minute guided prayer,Continue d'apprendre à prier — une prière guidée de cinq minutes,Patuloy na matutong manalangin — limang minutong ginagabayang panalangin
growAgainDesc,You've prayed them all — walk this one again,Tu les as tous priés — reprends celui-ci,Naipanalangin mo na lahat — ulitin ang isang ito
growHistory,Completed,Terminés,Natapos
growBrowseAll,Browse all guides,Parcourir tous les guides,Tingnan ang lahat ng gabay
lowDataTitle,Low data mode,Mode économie de données,Low data mode
lowDataSub,"Fetch less over the network. Verse text loads from this device when already saved; otherwise you'll see the reference with a link. Prayer capture, Today and sessions keep working offline.","Réduit les téléchargements. Le texte des versets s'affiche s'il est déjà sur cet appareil ; sinon la référence avec un lien. La saisie, Aujourd'hui et les sessions continuent de fonctionner hors ligne.","Mas kaunting data ang kukunin. Lalabas ang teksto ng talata kung nakasave na sa device; kung hindi, ang reperensiya at link. Gumagana pa rin offline ang pagsulat ng panalangin, Ngayon, at mga sesyon."
savedOffline,Saved on this device — it will sync when you're back online.,Enregistré sur cet appareil — la synchronisation se fera dès le retour de la connexion.,Naka-save sa device na ito — magsi-sync kapag online ka na ulit.
translatedLabel,Translated,Traduit,Isinalin
audiencePrivate,Private,Privé,Pribado
audienceVault,Private · Encrypted,Privé · Chiffré,Pribado · Naka-encrypt
audienceSharedWith,Shared with {name},Partagé avec {name},Ibinahagi sa {name}
audienceSharedN,Shared with {n} groups,Partagé avec {n} groupes,Ibinahagi sa {n} grupo
audienceFromGroup,From {name},De {name},Mula sa {name}
privacySecurity,Privacy & Security,Confidentialité et sécurité,Privacy at seguridad
notifPreviewTitle,Notification privacy,Confidentialité des notifications,Privacy ng notipikasyon
notifPreviewSub,What a prayer reminder may show on your lock screen. Titles and names are never included.,Ce qu'un rappel de prière peut afficher sur ton écran verrouillé. Les titres et les noms ne sont jamais inclus.,Kung ano ang maaaring ipakita ng paalala sa panalangin sa lock screen mo. Hindi kailanman kasama ang mga pamagat at pangalan.
notifPreviewGeneric,Just an invitation to pray — no details,Juste une invitation à prier — aucun détail,Paanyaya lamang na manalangin — walang detalye
notifPreviewCount,Include today's count — never titles or names,Indiquer le nombre du jour — jamais les titres ni les noms,Isama ang bilang ngayong araw — walang mga pamagat o pangalan
sharePreviewAudience,Will be shared with: {names},Sera partagé avec : {names},Ibabahagi sa: {names}
sharePreviewSync,Updates you add to this prayer will be shared too.,Les nouvelles que tu ajouteras à cette prière seront aussi partagées.,Ibabahagi rin ang mga update na idaragdag mo sa panalanging ito.
peopleView,People,Personnes,Mga tao
followUpNext,Follow-up · {date},Suivi · {date},Follow-up · {date}
resultsCount,{n} results,{n} résultats,{n} resulta
clearFiltersBtn,Clear filters,Effacer les filtres,Alisin ang mga filter
journalFilters,Journal filters,Filtres du journal,Mga filter ng journal
journalSource,Source or group,Source ou groupe,Pinagmulan o grupo
intercessionDueSub,Due today — from the requests you carry,À prier aujourd'hui — parmi les sujets que tu portes,Para sa araw na ito — mula sa mga kahilingang dala mo
intercessionNoneDue,Nothing is due today — your rhythm covers these on other days.,Rien n'est prévu aujourd'hui — ton rythme couvre ces sujets d'autres jours.,Walang nakatakda ngayon — sakop ng iyong ritmo ang mga ito sa ibang araw.
intercessionAllCarried,View all requests I'm carrying · {n},Voir tous les sujets que je porte · {n},Tingnan ang lahat ng kahilingang dala ko · {n}
prayAllCarriedBtn,Pray all remaining · {n},Prier tous les sujets restants · {n},Ipanalangin ang lahat ng natitira · {n}
prayAgainBtn,Pray again,Prier encore,Manalangin muli
prayForPerson,Pray for {name} · {n} active requests,Prier pour {name} · {n} sujets actifs,Ipanalangin si {name} · {n} aktibong kahilingan
personPrayedToday,You prayed for {name} today 🙏,Tu as prié pour {name} aujourd'hui 🙏,Naipanalangin mo na si {name} ngayon 🙏
aboutMinutes,About {n} min,Environ {n} min,Mga {n} minuto
whyThisStep,Why this step?,Pourquoi cette étape ?,Bakit ang hakbang na ito?
protEncrypted,Encrypted,Chiffré,Naka-encrypt
addUpdateBtn,Add update,Ajouter une nouvelle,Magdagdag ng balita
privacyRowOverview,Privacy Center,Centre de confidentialité,Sentro ng privacy
privacyRowVault,Prayer Vault,Coffre de prière,Vault ng panalangin
privacyRowNotif,Notification privacy,Confidentialité des notifications,Privacy ng notification
privacyRowLowData,Low data mode,Mode économie de données,Low data mode
privacyRowAi,AI assistance & data,Assistance IA et données,Tulong ng AI at data
privacyRowExport,Export my data,Exporter mes données,I-export ang aking data
protWillEncrypt,Will be encrypted,Sera chiffré,Ie-encrypt
protEncryptedLocked,Encrypted · locked here,Chiffré · verrouillé ici,Naka-encrypt · naka-lock dito
checklistAddRequestFirst,Add a request first,Ajoute d'abord une demande,Magdagdag muna ng kahilingan
sourceLangWrittenIn,Written in {name},Écrit en {name},Nakasulat sa {name}
sourceLangChange,Change,Modifier,Baguhin
sourceLangLabel,Language of this prayer,Langue de cette prière,Wika ng panalanging ito
sourceLangLooksLike,Looks like {name} — use it?,On dirait du {name} — l'utiliser ?,Mukhang {name} — gamitin?
schedRhythmLabel,Prayer rhythm,Rythme de prière,Ritmo ng panalangin
schedChange,Change,Modifier,Baguhin
schedChangeLater,You can change this later.,Tu pourras changer plus tard.,Puwede mo itong baguhin mamaya.
schedWhenAppear,When would you like this prayer to appear?,Quand souhaites-tu voir cette prière apparaître ?,Kailan mo gustong lumabas ang panalanging ito?
schedUsePlan,Use my normal prayer rhythm,Suivre mon rythme habituel,Gamitin ang karaniwan kong ritmo
schedOnceSub,Choose a date,Choisir une date,Pumili ng petsa
schedOtherRhythm,Choose another rhythm,Choisir un autre rythme,Pumili ng ibang ritmo
schedOtherRhythmSub,"Daily, weekly or a custom pattern","Chaque jour, chaque semaine ou sur mesure","Araw-araw, lingguhan o sarili mong pattern"
schedNoFixed,No fixed schedule,Pas d'horaire fixe,Walang takdang iskedyul
schedNoFixedSub,"Stays in your Journal, never on a set day","Reste dans le Journal, jamais un jour précis","Nananatili sa Journal, hindi sa isang takdang araw"
schedNoFixedSentence,"This prayer stays in your Journal, with no set day.","Cette prière restera dans ton Journal, sans jour fixe.","Nananatili ang panalanging ito sa iyong Journal, nang walang takdang araw."
noFixedSchedule,No fixed schedule,Pas d'horaire fixe,Walang takdang iskedyul
moreOptionsLabel,More options,Plus d'options,Higit pang opsyon
formReminderAt,You'll be reminded around {time}.,Tu seras rappelé·e vers {time}.,Paaalalahanan ka bandang {time}.
schedEveryDay,Every day,Chaque jour,Araw-araw
schedOnceAWeek,Once a week,Une fois par semaine,Minsan sa isang linggo
schedChooseDays,Choose days,Choisir les jours,Pumili ng mga araw
schedMoreOptions,More scheduling options,Plus d'options,Iba pang opsyon
schedPreferredTime,Preferred time,Moment préféré,Piniling oras
schedStopQuestion,When should this rhythm stop?,Quand ce rythme doit-il s'arrêter ?,Kailan dapat matapos ang ritmong ito?
schedUseRhythm,Use this rhythm,Utiliser ce rythme,Gamitin ang ritmong ito
schedWeekdaysLabel,Days of the week,Jours de la semaine,Mga araw ng linggo
schedDateLabel,Date,Date,Petsa
schedEndDateLabel,End date,Date de fin,Petsa ng pagtatapos
schedEndCountLabel,Number of times,Nombre de fois,Ilang beses
endMarkAnswered,When I mark it answered,Quand je la marque exaucée,Kapag minarkahan kong sinagot
endNoAutoEnd,No automatic end,Pas de fin automatique,Walang awtomatikong pagtatapos
schedWillAppear,This prayer will appear {detail}.,Cette prière apparaîtra {detail}.,Lalabas ang panalanging ito {detail}.
schedWillFollowPlan,This prayer will follow your normal rhythm: {days}.,Cette prière suivra ton rythme habituel : {days}.,Susunod ang panalanging ito sa karaniwan mong ritmo: {days}.
sentOnce,once on {date},une fois le {date},minsan sa {date}
sentDaily,every day,chaque jour,araw-araw
sentWeekly,every {days},chaque {days},tuwing {days}
sentInterval,every {n} days,tous les {n} jours,tuwing {n} araw
sentMonthly,on day {d} of each month,le {d} de chaque mois,tuwing ika-{d} ng buwan
sentYearly,every year on {date},chaque année le {date},taun-taon sa {date}
sentAnytime,at any time,à tout moment,anumang oras
sentMorning,in the morning,le matin,sa umaga
sentMidday,at midday,à midi,sa tanghali
sentEvening,in the evening,le soir,sa gabi
sentUntilAnswered,until you mark it answered,jusqu'à ce que tu la marques exaucée,hanggang markahan mong sinagot
sentUntilDate,until {date},jusqu'au {date},hanggang {date}
sentTimes,{n} times in total,{n} fois au total,{n} beses lahat
sentJoin,", ",", ",", "
formatBold,Bold,Gras,Makapal
formatItalic,Italic,Italique,Italiko
formatList,List,Liste,Listahan
attachMenu,Attach,Joindre,Maglakip
attachPhoto,Photo,Photo,Larawan
attachVideo,Video,Vidéo,Video
attachAudio,Audio,Audio,Audio
attachLink,Link,Lien,Link
recordVoice,Record a voice note,Enregistrer une note vocale,Mag-record ng voice note
stopRecording,Stop recording,Arrêter l'enregistrement,Itigil ang pagre-record
attachRemove,Remove attachment,Retirer la pièce jointe,Alisin ang attachment
textRemove,Remove text,Retirer le texte,Alisin ang teksto
linkPlaceholder,Paste a link (https://…),Coller un lien (https://…),I-paste ang link (https://…)
linkInvalid,This link is not valid,Ce lien n'est pas valide,Hindi wasto ang link na ito
attachTooLarge,This file is too large,Ce fichier est trop volumineux,Masyadong malaki ang file na ito
attachUnsupported,Unsupported file type,Type de fichier non pris en charge,Hindi suportado ang uri ng file
attachOffline,Adding media requires a connection,Ajouter un média nécessite une connexion internet,Kailangan ng koneksyon sa internet para magdagdag ng media
uploadFailed,"Upload failed, please try again","L'envoi a échoué, réessayez","Nabigo ang pag-upload, subukang muli"
micUnavailable,Microphone unavailable,Micro indisponible,Hindi available ang mikropono
mediaLoadError,Couldn't load this media,Impossible de charger ce média,Hindi ma-load ang media na ito
restUnderSky,Rest under the sky,Reposez-vous sous le ciel,Magpahinga sa ilalim ng langit
