key,en,fr,sw
growAgainDesc,You've prayed them all — walk this one again,Tu les as tous priés — reprends celui-ci,Umeyaomba yote — pitia hili tena
growHistory,Completed,Terminés,Zilizokamilika
growBrowseAll,Browse all guides,Parcourir tous les guides,Vinjari miongozo yote
lowDataTitle,Low data mode,Mode économie de données,Hali ya kuokoa data
lowDataSub,"Fetch less over the network. Verse text loads from this device when already saved; otherwise you'll see the reference with a link. Prayer capture, Today and sessions keep working offline.","Réduit les téléchargements. Le texte des versets s'affiche s'il est déjà sur cet appareil ; sinon la référence avec un lien. La saisie, Aujourd'hui et les sessions continuent de fonctionner hors ligne.","Punguza upakuaji mtandaoni. Maandiko yataonekana yakiwa tayari kwenye kifaa hiki; la sivyo, rejeo na kiungo. Kuandika maombi, Leo na vipindi vinaendelea kufanya kazi nje ya mtandao."
savedOffline,Saved on this device — it will sync when you're back online.,Enregistré sur cet appareil — la synchronisation se fera dès le retour de la connexion.,Imehifadhiwa kwenye kifaa hiki — itasawazishwa utakaporejea mtandaoni.
translatedLabel,Translated,Traduit,Imetafsiriwa
audiencePrivate,Private,Privé,Faragha
audienceVault,Private · Encrypted,Privé · Chiffré,Faragha · Imesimbwa
audienceSharedWith,Shared with {name},Partagé avec {name},Imeshirikiwa na {name}
audienceSharedN,Shared with {n} groups,Partagé avec {n} groupes,Imeshirikiwa na vikundi {n}
audienceFromGroup,From {name},De {name},Kutoka {name}
privacySecurity,Privacy & Security,Confidentialité et sécurité,Faragha na usalama
notifPreviewTitle,Notification privacy,Confidentialité des notifications,Faragha ya arifa
notifPreviewSub,What a prayer reminder may show on your lock screen. Titles and names are never included.,Ce qu'un rappel de prière peut afficher sur ton écran verrouillé. Les titres et les noms ne sont jamais inclus.,Kikumbusho cha maombi kinaweza kuonyesha nini kwenye skrini yako iliyofungwa. Vichwa na majina havijumuishwi kamwe.
notifPreviewGeneric,Just an invitation to pray — no details,Juste une invitation à prier — aucun détail,Mwaliko wa kuomba tu — hakuna maelezo
notifPreviewCount,Include today's count — never titles or names,Indiquer le nombre du jour — jamais les titres ni les noms,Onyesha idadi ya leo — kamwe si vichwa wala majina
sharePreviewAudience,Will be shared with: {names},Sera partagé avec : {names},Itashirikiwa na: {names}
sharePreviewSync,Updates you add to this prayer will be shared too.,Les nouvelles que tu ajouteras à cette prière seront aussi partagées.,Habari utakazoongeza kwenye ombi hili pia zitashirikiwa.
peopleView,People,Personnes,Watu
followUpNext,Follow-up · {date},Suivi · {date},Ufuatiliaji · {date}
resultsCount,{n} results,{n} résultats,Matokeo {n}
clearFiltersBtn,Clear filters,Effacer les filtres,Futa vichujio
journalFilters,Journal filters,Filtres du journal,Vichujio vya shajara
journalSource,Source or group,Source ou groupe,Chanzo au kikundi
intercessionDueSub,Due today — from the requests you carry,À prier aujourd'hui — parmi les sujets que tu portes,Ya leo — kutoka kwa maombi unayobeba
intercessionNoneDue,Nothing is due today — your rhythm covers these on other days.,Rien n'est prévu aujourd'hui — ton rythme couvre ces sujets d'autres jours.,Hakuna lililopangwa leo — mpangilio wako unayashughulikia siku nyingine.
intercessionAllCarried,View all requests I'm carrying · {n},Voir tous les sujets que je porte · {n},Ona maombi yote ninayobeba · {n}
prayAllCarriedBtn,Pray all remaining · {n},Prier tous les sujets restants · {n},Ombea yote yaliyosalia · {n}
prayAgainBtn,Pray again,Prier encore,Omba tena
prayForPerson,Pray for {name} · {n} active requests,Prier pour {name} · {n} sujets actifs,Mwombee {name} · maombi {n} yanayoendelea
personPrayedToday,You prayed for {name} today 🙏,Tu as prié pour {name} aujourd'hui 🙏,Umemwombea {name} leo 🙏
aboutMinutes,About {n} min,Environ {n} min,Takriban dakika {n}
whyThisStep,Why this step?,Pourquoi cette étape ?,Kwa nini hatua hii?
protEncrypted,Encrypted,Chiffré,Imesimbwa
addUpdateBtn,Add update,Ajouter une nouvelle,Ongeza habari
privacyRowOverview,Privacy Center,Centre de confidentialité,Kituo cha faragha
privacyRowVault,Prayer Vault,Coffre de prière,Kasha la maombi
privacyRowNotif,Notification privacy,Confidentialité des notifications,Faragha ya arifa
privacyRowLowData,Low data mode,Mode économie de données,Hali ya data kidogo
privacyRowAi,AI assistance & data,Assistance IA et données,Msaada wa AI na data
privacyRowExport,Export my data,Exporter mes données,Hamisha data yangu
protWillEncrypt,Will be encrypted,Sera chiffré,Itasimbwa
protEncryptedLocked,Encrypted · locked here,Chiffré · verrouillé ici,Imesimbwa · imefungwa hapa
checklistAddRequestFirst,Add a request first,Ajoute d'abord une demande,Ongeza ombi kwanza
sourceLangWrittenIn,Written in {name},Écrit en {name},Imeandikwa kwa {name}
sourceLangChange,Change,Modifier,Badilisha
sourceLangLabel,Language of this prayer,Langue de cette prière,Lugha ya maombi haya
sourceLangLooksLike,Looks like {name} — use it?,On dirait du {name} — l'utiliser ?,Inaonekana ni {name} — itumie?
schedRhythmLabel,Prayer rhythm,Rythme de prière,Mdundo wa maombi
schedChange,Change,Modifier,Badilisha
schedChangeLater,You can change this later.,Tu pourras changer plus tard.,Unaweza kubadilisha baadaye.
schedWhenAppear,When would you like this prayer to appear?,Quand souhaites-tu voir cette prière apparaître ?,Ungependa ombi hili lionekane lini?
schedUsePlan,Use my normal prayer rhythm,Suivre mon rythme habituel,Tumia mdundo wangu wa kawaida
schedOnceSub,Choose a date,Choisir une date,Chagua tarehe
schedOtherRhythm,Choose another rhythm,Choisir un autre rythme,Chagua mdundo mwingine
schedOtherRhythmSub,"Daily, weekly or a custom pattern","Chaque jour, chaque semaine ou sur mesure","Kila siku, kila wiki au wako mwenyewe"
schedNoFixed,No fixed schedule,Pas d'horaire fixe,Hakuna ratiba maalum
schedNoFixedSub,"Stays in your Journal, never on a set day","Reste dans le Journal, jamais un jour précis","Inabaki kwenye Jarida, si siku maalum"
schedNoFixedSentence,"This prayer stays in your Journal, with no set day.","Cette prière restera dans ton Journal, sans jour fixe.","Sala hii inabaki kwenye Jarida lako, bila siku maalum."
noFixedSchedule,No fixed schedule,Pas d'horaire fixe,Hakuna ratiba maalum
moreOptionsLabel,More options,Plus d'options,Chaguo zaidi
formReminderAt,You'll be reminded around {time}.,Tu seras rappelé·e vers {time}.,Utakumbushwa karibu saa {time}.
schedEveryDay,Every day,Chaque jour,Kila siku
schedOnceAWeek,Once a week,Une fois par semaine,Mara moja kwa wiki
schedChooseDays,Choose days,Choisir les jours,Chagua siku
schedMoreOptions,More scheduling options,Plus d'options,Chaguo zaidi
schedPreferredTime,Preferred time,Moment préféré,Wakati unaopendelea
schedStopQuestion,When should this rhythm stop?,Quand ce rythme doit-il s'arrêter ?,Mdundo huu ukome lini?
schedUseRhythm,Use this rhythm,Utiliser ce rythme,Tumia mdundo huu
schedWeekdaysLabel,Days of the week,Jours de la semaine,Siku za wiki
schedDateLabel,Date,Date,Tarehe
schedEndDateLabel,End date,Date de fin,Tarehe ya mwisho
schedEndCountLabel,Number of times,Nombre de fois,Idadi ya mara
endMarkAnswered,When I mark it answered,Quand je la marque exaucée,Nitakapoliweka kuwa limejibiwa
endNoAutoEnd,No automatic end,Pas de fin automatique,Hakuna mwisho wa kiotomatiki
schedWillAppear,This prayer will appear {detail}.,Cette prière apparaîtra {detail}.,Ombi hili litaonekana {detail}.
schedWillFollowPlan,This prayer will follow your normal rhythm: {days}.,Cette prière suivra ton rythme habituel : {days}.,Ombi hili litafuata mdundo wako wa kawaida: {days}.
sentOnce,once on {date},une fois le {date},mara moja tarehe {date}
sentDaily,every day,chaque jour,kila siku
sentWeekly,every {days},chaque {days},kila {days}
sentInterval,every {n} days,tous les {n} jours,kila siku {n}
sentMonthly,on day {d} of each month,le {d} de chaque mois,siku ya {d} ya kila mwezi
sentYearly,every year on {date},chaque année le {date},kila mwaka tarehe {date}
sentAnytime,at any time,à tout moment,wakati wowote
sentMorning,in the morning,le matin,asubuhi
sentMidday,at midday,à midi,adhuhuri
sentEvening,in the evening,le soir,jioni
sentUntilAnswered,until you mark it answered,jusqu'à ce que tu la marques exaucée,hadi utakapoliweka kuwa limejibiwa
sentUntilDate,until {date},jusqu'au {date},hadi {date}
sentTimes,{n} times in total,{n} fois au total,mara {n} kwa jumla
sentJoin,", ",", ",", "
formatBold,Bold,Gras,Herufi nzito
formatItalic,Italic,Italique,Italiki
formatList,List,Liste,Orodha
attachMenu,Attach,Joindre,Ambatisha
attachPhoto,Photo,Photo,Picha
attachVideo,Video,Vidéo,Video
attachAudio,Audio,Audio,Sauti
attachLink,Link,Lien,Kiungo
recordVoice,Record a voice note,Enregistrer une note vocale,Rekodi ujumbe wa sauti
stopRecording,Stop recording,Arrêter l'enregistrement,Simamisha kurekodi
attachRemove,Remove attachment,Retirer la pièce jointe,Ondoa kiambatisho
textRemove,Remove text,Retirer le texte,Ondoa maandishi
linkPlaceholder,Paste a link (https://…),Coller un lien (https://…),Bandika kiungo (https://…)
linkInvalid,This link is not valid,Ce lien n'est pas valide,Kiungo hiki si sahihi
attachTooLarge,This file is too large,Ce fichier est trop volumineux,Faili hii ni kubwa mno
attachUnsupported,Unsupported file type,Type de fichier non pris en charge,Aina ya faili haitumiki
attachOffline,Adding media requires a connection,Ajouter un média nécessite une connexion internet,Kuongeza media kunahitaji muunganisho wa intaneti
uploadFailed,"Upload failed, please try again","L'envoi a échoué, réessayez","Upakiaji umeshindikana, jaribu tena"
micUnavailable,Microphone unavailable,Micro indisponible,Maikrofoni haipatikani
mediaLoadError,Couldn't load this media,Impossible de charger ce média,Imeshindwa kupakia media hii
restUnderSky,Rest under the sky,Reposez-vous sous le ciel,Pumzika chini ya anga
